,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,15,0.000239962,"Handset object with 3 distinct hands, and 15 hand combinations."
100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,15,0.000239962,"Handset object with 3 distinct hands, and 15 hand combinations."
99,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,45,0.000239962,"Handset object with 3 distinct hands, and 45 hand combinations."
98,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,24,0.000239962,"Handset object with 3 distinct hands, and 24 hand combinations."
116,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,5,0.000159974,"Handset object with 2 distinct hands, and 5 hand combinations."
115,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,108,0.000159974,"Handset object with 2 distinct hands, and 108 hand combinations."
114,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,0.000159974,"Handset object with 2 distinct hands, and 5 hand combinations."
113,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,0.000159974,"Handset object with 2 distinct hands, and 5 hand combinations."
112,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,5,0.000159974,"Handset object with 2 distinct hands, and 5 hand combinations."
111,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,60,0.000159974,"Handset object with 2 distinct hands, and 60 hand combinations."
110,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,90,0.000159974,"Handset object with 2 distinct hands, and 90 hand combinations."
109,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,108,0.000159974,"Handset object with 2 distinct hands, and 108 hand combinations."
108,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,0.000159974,"Handset object with 2 distinct hands, and 5 hand combinations."
107,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,72,0.000159974,"Handset object with 2 distinct hands, and 72 hand combinations."
106,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,60,0.000159974,"Handset object with 2 distinct hands, and 60 hand combinations."
105,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,90,0.000159974,"Handset object with 2 distinct hands, and 90 hand combinations."
104,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,72,0.000159974,"Handset object with 2 distinct hands, and 72 hand combinations."
117,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,36,8.00E-05,"Handset object with 1 distinct hands, and 36 hand combinations."
118,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,8.00E-05,"Handset object with 1 distinct hands, and 1 hand combinations."
